"Abbrev","Stat Name","Description","Unit","Pctile Dir","Available In"
"aFGM/100","Assisted Field Goals / 100 Poss","The number of assisted field goals made by the player, per 100 possessions played.","Number","Highest # = 100th","Team Agg PBP"
"aFGM/40","Assisted Field Goals / 40 Mins","The number of assisted field goals made by the player, per 40 minutes played.","Number","Highest # = 100th","Team Agg PBP, Player Agg PBP"
"aFGM/G","Assisted Field Goals / Game","The number of assisted field goals made by the player, per game.","Number","Highest # = 100th","Team Agg PBP, Player Agg PBP"
"MID2 aFGM","Assisted Midrange 2s","The total number of assisted midrange 2s made by the player.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"MID2 aFGM/100","Assisted Midrange 2s / 100 Poss","The number of assisted midrange 2s made by the player, per 100 possessions played.","Number","Highest # = 100th","Team Agg PBP"
"MID2 aFGM/40","Assisted Midrange 2s / 40 Mins","The number of assisted midrange 2s made by the player, per 40 minutes played.","Number","Highest # = 100th","Team Agg PBP, Player Agg PBP"
"MID2 aFGM/G","Assisted Midrange 2s / Game","The number of assisted midrange 2s made by the player, per game.","Number","Highest # = 100th","Team Agg PBP, Player Agg PBP"
"PAINT2 aFGM","Assisted In The Paint 2s","The total number of assisted shots made in the paint (not at the rim) by the player.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"PAINT2 aFGM/100","Assisted In The Paint 2s / 100 Poss","The total number of assisted shots made in the paint (not at the rim) by the player, per 100 possessions played.","Number","Highest # = 100th","Team Agg PBP"
"PAINT2 aFGM/40","Assisted In The Paint 2s / 40 Mins","The total number of assisted shots made in the paint (not at the rim) by the player, per 40 minutes played.","Number","Highest # = 100th","Team Agg PBP, Player Agg PBP"
"PAINT2 aFGM/G","Assisted In The Paint 2s / Game","The total number of assisted shots made in the paint (not at the rim) by the player, per game.","Number","Highest # = 100th","Team Agg PBP, Player Agg PBP"
"ASTDPTS","Points Assisted On","The total number of points scored by the player that were assisted by a teammate.","Integer","Highest # = 100th","Player Game PBP, Player Agg PBP"
"ATR2 aFGM","Assisted Shots At Rim","The total number of assisted shots at the rim made by the player.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"ATR2 aFGM/100","Assisted Shots At Rim / 100 Poss","The number of assisted shots at the rim made by the player, per 100 possessions played.","Number","Highest # = 100th","Team Agg PBP"
"ATR2 aFGM/40","Assisted Shots At Rim / 40 Mins","The number of assisted shots at the rim made by the player, per 40 minutes played.","Number","Highest # = 100th","Team Agg PBP, Player Agg PBP"
"ATR2 aFGM/G","Assisted Shots At Rim / Game","The number of assisted shots at the rim made by the player, per game.","Number","Highest # = 100th","Team Agg PBP, Player Agg PBP"
"AST","Assists","The total number of assists.","Integer","Highest # = 100th","Player Game PBP, Team Game, Player Agg, Team Agg, Player Game, Team Agg PBP, Player Agg PBP, Lineup, Team Game PBP, On/Off"
"AST/100","Assists / 100 Poss","An estimate of the number of assists per 100 possessions played.","Number","Highest # = 100th","Team Agg, Lineup, On/Off"
"AST/40","Assists / 40 Mins","The number of assists per 40 minutes played.","Number","Highest # = 100th","Player Agg, Team Agg, Lineup, On/Off"
"AST/G","Assists / Game","The number of assists per game.","Number","Highest # = 100th","Player Agg, Team Agg"
"AST/TOV","Assist-To-Turnover Ratio","The ratio of total assists to total turnovers committed by the player.","Ratio","Highest # = 100th","Team Game, Player Agg, Team Agg, Player Game, Lineup, On/Off"
"astTm","astTm","Team Assists","-","-","Player Game PBP, Player Agg PBP"
"Rim + 3s aFGM","At The Rim + 3s Assisted FGM","The total number of assisted shots made at the rim and on three pointers made by the player.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"Rim + 3s aFGM/100","At The Rim + 3s Assisted FGM / 100 Poss","The number of assisted shots made at the rim (within 4.5 feet of the basket) and on three pointers made by the player, per 100 possessions played.","Number","Highest # = 100th","Team Agg PBP"
"Rim + 3s aFGM/40","At The Rim + 3s Assisted FGM / 40 Mins","The number of assisted shots made at the rim (within 4.5 feet of the basket) and on three pointers made by the player, per 40 minutes played.","Number","Highest # = 100th","Team Agg PBP, Player Agg PBP"
"Rim + 3s aFGM/G","At The Rim + 3s Assisted FGM / Game","The number of assisted shots made at the rim (within 4.5 feet of the basket) and on three pointers made by the player, per game.","Number","Highest # = 100th","Team Agg PBP, Player Agg PBP"
"Rim + 3s ASTD%","At The Rim + 3s Assisted Pct","The percentage of shots made either at the rim (within 4.5 feet of the basket) or on a three pointer that were assisted.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"Rim + 3s AST","At The Rim + 3s Assists","The total number of assists where the shooter scored either at the rim (within 4.5 feet of the basket) or on a three pointer.","Integer","Highest # = 100th","Player Game PBP, Player Agg PBP"
"Rim + 3s AST/40","At The Rim + 3s Assists / 40 Mins","The total number of assists per 40 minutes where the shooter scored either at the rim (within 4.5 feet of the basket), or on a three pointer.","Number","Highest # = 100th","Player Game PBP, Player Agg PBP"
"Rim + 3s eFG%","At The Rim + 3s eFG%","Effective field goal percentage on shots at the rim (within 4.5 feet of the basket) as well as three pointers.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"Rim + 3s FG%","At The Rim + 3s FG%","Field goal percentage on shots at the rim (within 4.5 feet of the basket) as well as three pointers.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"Rim + 3s FGA","At The Rim + 3s FGA","Field goal attempts at the rim (within 4.5 feet of the basket) and on three pointers.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"Rim + 3s FGA/100","At The Rim + 3s FGA / 100 Poss","Field goal attempts either at the rim (within 4.5 feet of the basket) or on three pointers, per 100 possessions played.","Number","Highest # = 100th","Team Agg PBP"
"Rim + 3s FGA/40","At The Rim + 3s FGA / 40 Mins","Field goal attempts either at the rim (within 4.5 feet of the basket) or on three pointers, per 40 minutes played.","Number","Highest # = 100th","Team Agg PBP, Player Agg PBP"
"Rim + 3s FGA/G","At The Rim + 3s FGA / Game","Field goal attempts either at the rim (within 4.5 feet of the basket) or on three pointers, per game.","Number","Highest # = 100th","Team Agg PBP, Player Agg PBP"
"Rim + 3s FGA%","At The Rim + 3s FGA%","Percentage of shots taken either at the rim (within 4.5 feet of the basket) or as a three pointer.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"Rim + 3s FGM","At The Rim + 3s FGM","Field goals made either at the rim (within 4.5 feet of the basket) or on three pointers.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"Rim + 3s uFGM","At The Rim + 3s Unassisted FGM","The total number of unassisted shots made at the rim (within 4.5 feet of the basket) and on three pointers made by the player.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"ATR2 ASTD%","At The Rim Assisted Pct","The percentage of shots made at the rim that were assisted, within 4.5 feet of the basket.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"ATR2 AST","At The Rim Assists","The total number of assists where the shooter scored at the rim, within 4.5 feet of the basket.","Integer","Highest # = 100th","Player Game PBP, Player Agg PBP"
"ATR2 AST/40","At The Rim Assists / 40 Mins","The total number of assists per 40 minutes where the shooter scored at the rim, within 4.5 feet of the basket.","Number","Highest # = 100th","Player Game PBP, Player Agg PBP"
"ATR2 AST/G","At The Rim Assists / Game","The total number of assists per game where the shooter scored at the rim, within 4.5 feet of the basket.","Number","Highest # = 100th","Player Agg PBP"
"ATR2 DRB CHNC","At The Rim Defensive Rebound Chances","The total number of defensive rebounds chances (defensive rebounds grabbed plus opponent offensive rebounds) on opponent's missed shots at the rim.","Integer","Highest # = 100th","Team Agg PBP, Team Game PBP"
"ATR2 DRB%","At The Rim Defensive Rebounding Percentage","Percentage of the opponent's missed shots at the rim that were defensive rebounded by the team.","Percentage","Highest % = 100th","Team Agg PBP, Team Game PBP"
"ATR2 DRB","At The Rim Defensive Rebounds","The total number of defensive rebounds grabbed on opponent's missed shots at the rim.","Integer","Highest # = 100th","Team Agg PBP, Team Game PBP"
"ATR2 FG%","At The Rim FG%","Field goal percentage at the rim, within 4.5 feet of the basket.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Lineup, Team Game PBP, On/Off"
"ATR2 FG% (0-10s)","At The Rim FG% with 0-10 Secs on Shot Clock","Field goal percentage on shots taken at the rim with 0 - 10 seconds remaining on the shot clock.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"ATR2 FG% (10-20s)","At The Rim FG% with 10-20 Secs on Shot Clock","Field goal percentage on shots taken at the rim with 10 - 20 seconds remaining on the shot clock.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"ATR2 FG% (20-30s)","At The Rim FG% with 20-30 Secs on Shot Clock","Field goal percentage on shots taken at the rim with 20 - 30 seconds remaining on the shot clock.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"ATR2 FGA","At The Rim FGA","Field goal attempts at the rim, within 4.5 feet of the basket.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Lineup, Team Game PBP, On/Off"
"ATR2 FGA (0-10s)","At The Rim FGAs with 0-10 Secs on Shot Clock","The total number of field goal attempts at the rim taken with 0 - 10 seconds remaining on the shot clock.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"ATR2 FGA (10-20s)","At The Rim FGAs with 10-20 Secs on Shot Clock","The total number of field goal attempts at the rim taken with 10 - 20 seconds remaining on the shot clock.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"ATR2 FGA (20-30s)","At The Rim FGAs with 20-30 Secs on Shot Clock","The total number of field goal attempts at the rim taken with 20 - 30 seconds remaining on the shot clock.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"ATR2 FGA/100","At The Rim FGA / 100 Poss","Field goal attempts at the rim (within 4.5 feet of the basket) per 100 possessions played.","Number","Highest # = 100th","Team Agg PBP, Lineup, On/Off"
"ATR2 FGA/40","At The Rim FGA / 40 Mins","Field goal attempts at the rim (within 4.5 feet of the basket) per 40 minutes played.","Number","Highest # = 100th","Team Agg PBP, Player Agg PBP, Lineup, On/Off"
"ATR2 FGA/G","At The Rim FGA / Game","Field goal attempts at the rim (within 4.5 feet of the basket) per game.","Number","Highest # = 100th","Team Agg PBP, Player Agg PBP"
"ATR2 FGA%","At The Rim FGA%","Percentage of shots taken at the rim, within 4.5 feet of the basket.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Lineup, Team Game PBP, On/Off"
"ATR2 FGA% (0-10s) A","At The Rim FGA% (0-10s) % of all shots","Percentage of all shots taken that were at the rim with 0 - 10 seconds remaining on the shot clock.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"ATR2 FGA% (0-10s) Z","At The Rim FGA% (0-10s) % of ATR","Percentage of all shots at the rim that were taken with 0 - 10 seconds remaining on the shot clock.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"ATR2 FGA% (0-10s) C","At The Rim FGA% (0-10s) % of 0-10s shots","Percentage of all shots taken with 0 - 10 seconds remaining on the shot clock that were at the rim.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"ATR2 FGA% (10-20s) A","At The Rim FGA% (10-20s) % of all shots","Percentage of all shots taken that were at the rim with 10 - 20 seconds remaining on the shot clock.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"ATR2 FGA% (10-20s) Z","At The Rim FGA% (10-20s) % of ATR","Percentage of all shots at the rim that were taken with 10 - 20 seconds remaining on the shot clock.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"ATR2 FGA% (10-20s) C","At The Rim FGA% (10-20s) % of 10-20s shots","Percentage of all shots taken with 10 - 20 seconds remaining on the shot clock that were at the rim.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"ATR2 FGA% (20-30s) A","At The Rim FGA% (20-30s) % of all shots","Percentage of all shots taken that were at the rim with 20 - 30 seconds remaining on the shot clock.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"ATR2 FGA% (20-30s) Z","At The Rim FGA% (20-30s) % of ATR","Percentage of all shots at the rim that were taken with 20 - 30 seconds remaining on the shot clock.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"ATR2 FGA% (20-30s) C","At The Rim FGA% (20-30s) % of 20-30s shots","Percentage of all shots taken with 20 - 30 seconds remaining on the shot clock that were at the rim.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"ATR2 FGM","At The Rim FGM","Field goals made at the rim (within 4.5 feet of the basket).","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Lineup, Team Game PBP, On/Off"
"ATR2 FGM (0-10s)","At The Rim FGMs with 0-10 Secs on Shot Clock","The total number of field goals made at the rim taken with 0 - 10 seconds remaining on the shot clock.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"ATR2 FGM (10-20s)","At The Rim FGMs with 10-20 Secs on Shot Clock","The total number of field goals made at the rim taken with 10 - 20 seconds remaining on the shot clock.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"ATR2 FGM (20-30s)","At The Rim FGMs with 20-30 Secs on Shot Clock","The total number of field goals made at the rim taken with 20 - 30 seconds remaining on the shot clock.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"ATR2 ORB CHNC","At The Rim Offensive Rebound Chances","The total number of offensive rebounds chances (offensive rebounds grabbed plus opponent defensive rebounds) on the team's missed shots at the rim.","Integer","Highest # = 100th","Team Agg PBP, Team Game PBP"
"ATR2 ORB%","At The Rim Offensive Rebounding Percentage","Percentage of the team's missed shots at the rim that were offensive rebounded by the team.","Percentage","Highest % = 100th","Team Agg PBP, Team Game PBP"
"ATR2 ORB","At The Rim Offensive Rebounds","The total number of offensive rebounds grabbed on the team's missed shots at the rim.","Integer","Highest # = 100th","Team Agg PBP, Team Game PBP"
"ATR2 REB CHNC","At The Rim Rebound Chances","The total number of rebounds chances (rebounds grabbed plus opponent rebounds) on the team's and opponent's missed shots at the rim.","Integer","Highest # = 100th","Team Agg PBP, Team Game PBP"
"ATR2 REB%","At The Rim Rebounding Percentage","Percentage of the team's and opponent's missed shots at the rim that were rebounded by the team.","Percentage","Highest % = 100th","Team Agg PBP, Team Game PBP"
"ATR2 REB","At The Rim Rebounds","The total number of rebounds grabbed on the team's and opponent's missed shots at the rim.","Integer","Highest # = 100th","Team Agg PBP, Team Game PBP"
"ATB3 FG%","Above Break 3s FG%","Field goal percentage on above the break 3s.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Lineup, Team Game PBP, On/Off"
"ATB3 FGA","Above Break 3s FGA","The total number of field goal attempts on above the break 3s.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Lineup, Team Game PBP, On/Off"
"ATB3 FGA%","Above Break 3s FGA%","Percentage of shots taken as above the break 3s.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Lineup, Team Game PBP, On/Off"
"ATB3 FG% (0-10s)","Above Break 3s FG% with 0-10 Secs on Shot Clock","Field goal percentage on above the break 3s taken with 0 - 10 seconds remaining on the shot clock.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"ATB3 FG% (10-20s)","Above Break 3s FG% with 10-20 Secs on Shot Clock","Field goal percentage on above the break 3s taken with 10 - 20 seconds remaining on the shot clock.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"ATB3 FG% (20-30s)","Above Break 3s FG% with 20-30 Secs on Shot Clock","Field goal percentage on above the break 3s taken with 20 - 30 seconds remaining on the shot clock.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"Avg Kill Len (No Fouls)","Avg Length of Kill Runs (No Fouls Allowed)","Average length in stops of the strictest kill runs (3+ consecutive stops with no points allowed, no free throws allowed, and no defensive fouls). Measures how long these strictest kill runs typically last.","Number","Highest # = 100th","Team Agg PBP, Team Game PBP"
"Avg Kill Len (No FTs)","Avg Length of Kill Runs (No FTs Allowed)","Average length in stops of stricter kill runs (3+ consecutive stops with no points and no free throws allowed). Measures how long these kill runs typically last.","Number","Highest # = 100th","Team Agg PBP, Team Game PBP"
"Avg Kill Len (No Pts)","Avg Length of Kill Runs (No Pts Allowed)","Average length in stops of a defensive kill run (3+ consecutive stops with no points allowed). Measures how long kill runs typically last when they occur.","Number","Highest # = 100th","Team Agg PBP, Team Game PBP"
"S/CHNC D","Average Seconds / Defensive Chance","The average number of seconds per defensive chance. This number is identical to seconds / defensive possession, except with seconds after an offensive rebound excluded, and with putback chances excluded. This number effectively measures the average number of seconds from the start of a possession until a team's first shot, shooting foul or turnover.","Number","Highest # = 100th","Team Agg PBP, Team Game PBP"
"S/POSS D","Average Seconds / Defensive Poss","The average number of seconds per defensive possession. This number measures the average length of entire defensive possessions, so added seconds from offensive rebounds count, as offensive rebounds extend a single possession.","Number","Highest # = 100th","Team Agg PBP, Team Game PBP"
"S/PUT D","Average Seconds / Defensive Putback","The average number of seconds per defensive putback. This number measures the average length of chances (average seconds until the next shot, shooting foul or turnover) that start following an offensive rebound.","Number","Highest # = 100th","Team Agg PBP, Team Game PBP"
"S/CHNC O","Average Seconds / Offensive Chance","The average number of seconds per offensive chance. This number is identical to seconds / offensive possession, except with seconds after an offensive rebound excluded, and with putback chances excluded. This number effectively measures the average number of seconds from the start of a possession until a team's first shot, shooting foul or turnover.","Number","Lowest # = 100th","Team Agg PBP, Team Game PBP"
"S/POSS O","Average Seconds / Offensive Poss","The average number of seconds per offensive possession. This number measures the average length of entire offensive possessions, so added seconds from offensive rebounds count, as offensive rebounds extend a single possession.","Number","Lowest # = 100th","Team Agg PBP, Team Game PBP"
"S/PUT O","Average Seconds / Offensive Putback","The average number of seconds per offensive putback. This number measures the average length of chances (average seconds until the next shot, shooting foul or turnover) that start following an offensive rebound.","Number","Lowest # = 100th","Team Agg PBP, Team Game PBP"
"2PA Avg Dist","Average Shot Distance on 2-Point Attempts","Average shot distance on 2-point field goal attempts. Shot distances are based on scorekeeper-tagged locations and may contain minor shot-location inaccuracies.","Number","Lowest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"3PA Avg Dist","Average Shot Distance on 3-Point Attempts","Average shot distance on 3-point field goal attempts. Shot distances are based on scorekeeper-tagged locations and may contain minor shot-location inaccuracies. Heaves (above 35 feet) are removed.","Number","Lowest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"ATB3 Avg Dist","Average Shot Distance on Above Break 3s","Average shot distance of above the break 3s attempts. Shot distances are based on scorekeeper-tagged locations and may contain minor shot-location inaccuracies. Heaves (above 35 feet) are removed.","Number","Lowest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"FGA Avg Dist","Average Shot Distance on Field Goal Attempts","Average shot distance on all field goal attempts. Shot distances are based on scorekeeper-tagged locations and may contain minor shot-location inaccuracies. Heaves (above 35 feet) are removed.","Number","Lowest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"BC/Poss CHLG","Backcourt / Poss Challenges","Total number of head coach challenges on backcourt violations or whether team control (possession) was established before a foul or violation (women's basketball only).","Integer","Highest # = 100th","Team Agg PBP, Team Game PBP"
"TOV PASS","Bad Pass Turnover","The total number of turnovers tagged by the scorer as a bad pass turnover by the team.","Integer","Lowest # = 100th","Team Agg PBP, Team Game PBP"
"BC/Poss CHLG%","Backcourt / Poss Challenge Success Percentage","Percentage of coach challenges on backcourt violations or whether team control was established before a foul or violation that were successful (women's basketball only).","Percentage","Highest % = 100th","Team Agg PBP, Team Game PBP"
"BH FG%","Behind The Hoop FG%","Field goal percentage on shots taken behind the hoop.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"BH FGA","Behind The Hoop FGA","Field goal attempts taken behind the hoop.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"BH FGA/100","Behind The Hoop FGA / 100 Poss","Field goal attempts taken behind the hoop per 100 possessions played.","Number","Highest # = 100th","Team Agg PBP"
"BH FGA/40","Behind The Hoop FGA / 40 Mins","Field goal attempts taken behind the hoop per 40 minutes played.","Number","Highest # = 100th","Team Agg PBP, Player Agg PBP"
"BH FGA/G","Behind The Hoop FGA / Game","Field goal attempts taken behind the hoop per game.","Number","Highest # = 100th","Team Agg PBP, Player Agg PBP"
"BH FGA%","Behind The Hoop FGA%","Percentage of shots taken behind the hoop.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"BH FGM","Behind The Hoop FGM","Field goals made on shots taken behind the hoop.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"BENCH/100","Bench Points / 100 Poss","An estimate of the number of bench points per 100 possessions played.","Number","Highest # = 100th","Team Agg"
"BENCH/40","Bench Points / 40 Mins","The number of bench points per 40 minutes played.","Number","Highest # = 100th","Team Agg"
"BENCH/G","Bench Points / Game","The number of bench points per game.","Number","Highest # = 100th","Team Agg"
"Bench Mins","Bench Minutes","Total minutes played by non-starters (bench) across the scope.","Integer","Highest # = 100th","Team Game, Team Agg"
"Bench Mins/G","Bench Minutes / Game","Average minutes per game played by non-starters (bench).","Number","Highest # = 100th","Team Agg"
"Bench Mins%","Bench Minutes Percentage","Share of total team minutes played by non-starters (bench).","Percentage","Highest % = 100th","Team Game, Team Agg"
"BENCH","Bench Points","The total number of bench points.","Integer","Highest # = 100th","Team Game, Team Agg"
"Bench Pts","Bench Points","Total points scored by non-starters (bench) across the scope.","Integer","Highest # = 100th","Team Game, Team Agg"
"Bench Pts/G","Bench Points / Game","Average points per game scored by non-starters (bench).","Number","Highest # = 100th","Team Agg"
"Bench Pts%","Bench Points Percentage","Share of total team points scored by non-starters (bench).","Percentage","Highest % = 100th","Team Game, Team Agg"
"biggestRunAgst","biggestRunAgst","No description available","-","-","Team Game"
"BLK%","Block Percentage","An estimate of the percentage of opponent two-point field goal attempts blocked by the player while he was on the floor.","Percentage","Highest % = 100th","Team Game, Player Agg, Team Agg, Player Game, Lineup, On/Off"
"BLKR%","Block Recovery Percentage","Percentage of player's blocked shots where the blocker's team secured the resulting rebound (live or deadball), ending the other team's offensive possession.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"BLKD","Blocked","The total number of times blocked.","Integer","Lowest # = 100th","Team Game, Player Agg, Team Agg, Player Game"
"BLKD/100","Blocked / 100 Poss","An estimate of the number of times blocked per 100 possessions played.","Number","Lowest # = 100th","Team Agg"
"BLKD/40","Blocked / 40 Mins","The number of times blocked per 40 minutes played.","Number","Lowest # = 100th","Player Agg, Team Agg"
"BLKD/FGA","Blocked / FGA","The ratio of shots blocked to field goal attempts by the player.","Ratio","Lowest # = 100th","Player Agg"
"BLKD/G","Blocked / Game","The number of times blocked per game.","Number","Lowest # = 100th","Player Agg, Team Agg"
"BLK","Blocks","The total number of blocks.","Integer","Highest # = 100th","Player Game PBP, Team Game, Player Agg, Team Agg, Player Game, Team Agg PBP, Player Agg PBP, Lineup, Team Game PBP, On/Off"
"BLK/100","Blocks / 100 Poss","An estimate of the number of blocks per 100 possessions played.","Number","Highest # = 100th","Team Agg, Team Agg PBP, Lineup, On/Off"
"BLK/40","Blocks / 40 Mins","The number of blocks per 40 minutes played.","Number","Highest # = 100th","Player Agg, Team Agg, Team Agg PBP, Player Agg PBP, Lineup, On/Off"
"BLK/G","Blocks / Game","The number of blocks per game.","Number","Highest # = 100th","Player Agg, Team Agg, Team Agg PBP, Player Agg PBP"
"BLK/PF","Blocks / Personal Foul","The ratio of blocks to personal fouls committed by the player.","Ratio","Highest # = 100th","Team Game, Player Agg, Team Agg, Player Game, Lineup, On/Off"
"BLK2","Blocks on 2s","The total number of blocks by the player on opposing 2P shot attempts.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"BLK2/100","Blocks on 2s / 100 Poss","The number of blocks by the player on opposing 2P shot attempts, per 100 possessions played.","Number","Highest # = 100th","Team Agg PBP"
"BLK2/40","Blocks on 2s / 40 Mins","The number of blocks by the player on opposing 2P shot attempts, per 40 minutes played.","Number","Highest # = 100th","Team Agg PBP, Player Agg PBP"
"BLK2/G","Blocks on 2s / Game","The number of blocks by the player on opposing 2P shot attempts, per game.","Number","Highest # = 100th","Team Agg PBP, Player Agg PBP"
"BLK3","Blocks on 3s","The total number of blocks by the player on opposing 3P shot attempts.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"BLK3/100","Blocks on 3s / 100 Poss","The number of blocks by the player on opposing 3P shot attempts, per 100 possessions played.","Number","Highest # = 100th","Team Agg PBP"
"BLK3/40","Blocks on 3s / 40 Mins","The number of blocks by the player on opposing 3P shot attempts, per 40 minutes played.","Number","Highest # = 100th","Team Agg PBP, Player Agg PBP"
"BLK3/G","Blocks on 3s / Game","The number of blocks by the player on opposing 3P shot attempts, per game.","Number","Highest # = 100th","Team Agg PBP, Player Agg PBP"
"BLKR","Blocks Recovered","The total number of blocks where the blocker's team secured the resulting rebound (live or deadball). The block ended the offensive possession rather than the offense recovering it.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"BLKR/100","Blocks Recovered / 100 Poss","The number of blocks per 100 possessions where the blocker's team secured the resulting rebound (live or deadball), ending the other team's offensive possession.","Number","Highest # = 100th","Team Agg PBP"
"BLKR/40","Blocks Recovered / 40 Mins","The number of blocks per 40 minutes where the blocker's team secured the resulting rebound (live or deadball), ending the other team's offensive possession.","Number","Highest # = 100th","Team Agg PBP, Player Agg PBP"
"BLKR/G","Blocks Recovered / Game","The number of blocks per game where the blocker's team secured the resulting rebound (live or deadball), ending the other team's offensive possession.","Number","Highest # = 100th","Team Agg PBP, Player Agg PBP"
"CHLG%","Challenge Success Percentage","Percentage of coach challenges that were successful.","Percentage","Highest % = 100th","Team Agg PBP, Team Game PBP"
"Challenge","Head Coach Challenges","Total number of head coach challenges used.","Integer","Highest # = 100th","Team Agg PBP, Team Game PBP"
"CLASS YR","Class Year","One of Freshman (Fr), Sophomore (So), Junior (Jr) or Senior (Sr). 5th Year Players and Grad Transfers are marked as Seniors in the raw data. No "redshirt" designation for players is available in the raw data. Please report any incorrectly listed player class years to us.","txt","Highest # = 100th","Player Game PBP, Player Agg, Player Game, Player Agg PBP"
"coachEject","coachEject","No description available","-","-","Team Agg PBP, Team Game PBP"
